Feature,Importance
GC.XPN.COMP.ZS,0.0010742536
SH.UHC.OOPC.10.ZS,0.0010665386
EG.ELC.ACCS.UR.ZS,0.0010515581
SH.HIV.1524.FE.ZS,0.0010489265
SL.UEM.TOTL.FE.ZS,0.0010332875
SH.HIV.INCD,0.0010325903
IC.EXP.CSDC.CD,0.0010325682
SE.PRM.CMPT.MA.ZS,0.0010240984
GC.DOD.TOTL.GD.ZS,0.0010187431
NV.IND.MANF.CD,0.0010187146
ST.INT.RCPT.XP.ZS,0.0010112308
SI.POV.UMIC,0.0010019924
SE.XPD.TOTL.GB.ZS,0.0009952671
EG.USE.PCAP.KG.OE,0.0009856788
NE.GDI.TOTL.KD.ZG,0.0009813799
IC.BUS.DFRN.XQ,0.0009734574
SH.TBS.INCD,0.0009576842
EG.ELC.LOSS.ZS,0.0009490828
per_si_allsi.cov_q5_tot,0.0009422137
SH.SGR.CRSK.ZS,0.0009303861
IC.BUS.NREG,0.000925674
NY.ADJ.DFOR.GN.ZS,0.00090389384
NV.SRV.TOTL.ZS,0.00089602784
IS.RRS.PASG.KM,0.0008959921
AG.LND.FRST.ZS,0.0008915994
SH.UHC.FBP1.ZS,0.00087727065
BX.TRF.CURR.CD,0.00087072933
TM.VAL.MRCH.XD.WD,0.0008700615
SH.STA.FGMS.ZS,0.00086594943
NE.CON.PRVT.ZS,0.0008595617
NY.GNP.MKTP.KD,0.00085387845
ER.H2O.INTR.PC,0.00085120794
NY.ADJ.AEDU.CD,0.0008459598
SH.UHC.OOPC.25.ZS,0.00084286113
IE.PPN.TRAN.CD,0.00084204186
SP.POP.65UP.TO.ZS,0.00084029615
BX.GSR.NFSV.CD,0.00083759637
DT.TDS.DECT.EX.ZS,0.00083310937
SL.TLF.0714.SW.FE.ZS,0.0008310755
IC.FRM.FEMM.ZS,0.0008294561
SH.UHC.TOTR.ZS,0.00082792924
SP.POP.0014.MA.IN,0.00082376075
SL.TLF.CACT.ZS,0.0008204775
FX.OWN.TOTL.OL.ZS,0.00081784703
SH.UHC.NOPR.ZS,0.00081618864
IC.IMP.CSDC.CD,0.0008124052
FR.INR.RISK,0.0008104889
TX.VAL.MRCH.RS.ZS,0.0008087741
IE.PPN.WATR.CD,0.00080450496
SE.LPV.PRIM.SD.MA,0.00079743017
SL.UEM.TOTL.NE.ZS,0.0007918186
SP.POP.DPND.YG,0.0007873223
SE.XPD.TERT.ZS,0.000786824
SL.UEM.NEET.MA.ZS,0.00078559114
EG.GDP.PUSE.KO.PP.KD,0.00076818507
NY.TTF.GNFS.KN,0.0007678352
IQ.CPA.FINS.XQ,0.00076520257
SH.STA.AIRP.MA.P5,0.00075230806
NE.CON.GOVT.ZS,0.0007457871
PA.NUS.PPP,0.00074403186
SE.SEC.ENRL.TC.ZS,0.0007367385
ER.H2O.FWTL.ZS,0.00073349406
SP.POP.1564.TO.ZS,0.00073261425
BM.TRF.PWKR.CD.DT,0.00072980486
EN.GHG.CO2.LU.MT.CE.AR5,0.0007287243
SM.POP.TOTL.ZS,0.0007218685
FD.AST.PRVT.GD.ZS,0.00071285473
TX.VAL.AGRI.ZS.UN,0.0007097949
NE.CON.PRVT.PP.CD,0.0007070109
SG.VAW.REAS.ZS,0.0007048793
NY.GNS.ICTR.CD,0.0007027557
EG.ELC.RNWX.ZS,0.00070268085
SE.PRM.ENRR.FE,0.0006963058
SH.TBS.DTEC.ZS,0.0006960932
SH.STA.SUIC.FE.P5,0.0006953999
IC.FRM.CORR.ZS,0.0006934877
SH.STA.TRAF.P5,0.0006924359
SE.PRM.ENRR,0.00069177436
DC.DAC.NLDL.CD,0.0006740346
EG.USE.COMM.GD.PP.KD,0.000673199
EG.GDP.PUSE.KO.PP,0.0006718949
SP.POP.GROW,0.00066957774
EN.GHG.ALL.LU.MT.CE.AR5,0.00066813553
DT.NFL.UNTA.CD,0.0006646971
SL.SRV.EMPL.MA.ZS,0.0006646604
IQ.SPI.PIL5,0.00066057156
NY.GDP.PCAP.KN,0.0006592864
FI.RES.TOTL.CD,0.00065712264
NE.CON.PRVT.CN,0.0006556514
SH.IMM.HEPB,0.0006539373
IQ.SPI.OVRL,0.0006533804
IC.CRD.INFO.XQ,0.00064373587
SE.PRM.CUAT.ZS,0.00063820067
SH.PRV.SMOK.FE,0.0006225974
NY.GDP.DEFL.ZS.AD,0.0006193006
SH.STA.BFED.ZS,0.000618294
BN.KAC.EOMS.CD,0.0006132359
BM.GSR.FCTY.CD,0.0006099146
DC.DAC.NORL.CD,0.0006082271
TM.VAL.MRCH.R1.ZS,0.000593185
SL.UEM.NEET.MA.ME.ZS,0.0005846345
