Feature,Importance
SG.VAW.GOES.ZS,0.0011201309
GC.NFN.TOTL.CN,0.0011135848
ER.H2O.FWDM.ZS,0.0011085231
EN.ATM.PM25.MC.T1.ZS,0.0010992752
SP.URB.TOTL.IN.ZS,0.0010862111
FS.AST.DOMO.GD.ZS,0.0010698503
NV.MNF.TECH.ZS.UN,0.0010678617
NE.CON.GOVT.KD,0.0010585425
NY.GDP.TOTL.RT.ZS,0.0010427866
SL.UEM.BASC.FE.ZS,0.0010248072
SH.SVR.WAST.FE.ZS,0.001019972
GC.REV.GOTR.CN,0.0010149258
SH.STA.ODFC.UR.ZS,0.0010135147
AG.LND.FRST.K2,0.001008313
DT.DOD.MIDA.CD,0.0010031547
ST.INT.RCPT.XP.ZS,0.0009789561
TM.VAL.MRCH.R6.ZS,0.00097489177
SP.POP.BRTH.MF,0.00096887397
SE.LPV.PRIM.LD.FE,0.0009488667
NY.TRF.NCTR.CN,0.0009469976
FB.CBK.BRCH.P5,0.0009435365
EG.USE.COMM.FO.ZS,0.00093153486
SE.ENR.TERT.FM.ZS,0.0009313965
SH.FPL.SATM.ZS,0.00090309454
SL.EMP.SMGT.FE.ZS,0.00089976593
SH.MED.PHYS.ZS,0.0008831623
NV.AGR.TOTL.ZS,0.0008598292
SE.PRM.NENR.MA,0.0008556458
NV.IND.EMPL.KD,0.0008386347
NY.ADJ.NNTY.CD,0.00082217867
SE.TER.CUAT.MS.MA.ZS,0.0008025513
SH.HIV.INCD.TL,0.00080119213
TX.VAL.INSF.ZS.WT,0.0008006648
SH.XPD.GHED.CH.ZS,0.0007990434
IT.MLT.MAIN.P2,0.0007985009
SE.COM.DURS,0.0007917226
IC.REG.COST.PC.FE.ZS,0.00078084256
SI.POV.MPWB,0.00076940825
TM.VAL.ICTG.ZS.UN,0.00076720165
VA.PER.RNK.UPPER,0.0007595354
FB.ATM.TOTL.P5,0.00075517356
BM.GSR.TRVL.ZS,0.0007547525
IS.RRS.PASG.KM,0.0007502259
IC.EXP.CSDC.CD,0.00074841105
AG.LND.ARBL.ZS,0.0007430023
EN.ATM.PM25.MC.ZS,0.0007345867
SE.PRM.TENR,0.0007270547
EN.CLC.DRSK.XQ,0.0007231554
SH.UHC.TOTR.ZS,0.00072311057
SE.TER.CUAT.DO.ZS,0.0007113449
SP.POP.1564.TO.ZS,0.0007097009
IT.CEL.SETS.P2,0.0007070651
GC.TAX.EXPT.ZS,0.0006990495
TM.TAX.MRCH.WM.AR.ZS,0.0006951606
SL.TLF.0714.WK.FE.ZS,0.00069298624
AG.LND.CREL.HA,0.0006924348
SM.POP.REFG.OR,0.00069107354
TX.VAL.MRCH.R6.ZS,0.00068827183
SI.POV.DDAY,0.00068283547
CC.PER.RNK.LOWER,0.0006811699
DT.ODA.ODAT.PC.ZS,0.00068086985
FM.LBL.BMNY.CN,0.0006768656
TX.VAL.MRCH.RS.ZS,0.0006762654
SH.XPD.CHEX.PC.CD,0.0006726665
EN.GHG.CO2.IC.MT.CE.AR5,0.00066336186
SE.XPD.TERT.ZS,0.000661669
SE.SEC.CMPT.LO.FE.ZS,0.00065448834
SP.DYN.LE00.IN,0.0006536669
SE.XPD.TOTL.GB.ZS,0.0006470459
MS.MIL.TOTL.TF.ZS,0.0006448454
AG.LND.AGRI.K2,0.00062953844
SL.SRV.EMPL.MA.ZS,0.00062466314
SP.RUR.TOTL.ZS,0.00062088016
TX.UVI.MRCH.XD.WD,0.00062071596
SH.PRV.SMOK.FE,0.0006058091
AG.LND.EL5M.RU.ZS,0.00060456863
SH.SGR.IRSK.ZS,0.0006006824
SL.EMP.1524.SP.MA.ZS,0.00059760787
NV.SRV.TOTL.CN,0.0005907614
IC.CRD.PRVT.ZS,0.0005870104
IC.FRM.CMPU.ZS,0.0005857896
TM.VAL.MRCH.RS.ZS,0.000584719
SE.SEC.TCHR.FE,0.0005826714
SP.POP.0014.TO.ZS,0.0005811928
IC.FRM.INFM.ZS,0.00057784736
NY.GNP.PCAP.KD,0.0005752726
SH.UHC.FBP1.ZS,0.0005734504
SP.POP.1564.FE.ZS,0.00056984473
